Year,Month,Region,Household_Members,Monthly_Household_Income_SGD,Fridge_Count,Aircon_Unit_Count,Aircon_Avg_Hours_Per_Day,Television_Count,Television_Avg_Hours_Per_Day,Computer_Count,Computer_Avg_Hours_Per_Day,Fan_Count,Fan_Avg_Hours_Per_Day,Light_Count,Light_Avg_Hours_Per_Day,Monthly_Energy_Consumption_kWh
2012,Dec,North,1,5150,1,2,2.5,2,3.3,3,1.8,2,5.3,9,1.8,336.7
2011,Feb,Central,5,5150,1,2,1.7,2,3,1,2.5,3,1.1,10,6,175.9
2011,May,North,1,5800,1,3,6.9,1,3.1,1,5.6,2,3.3,11,1.7,771
2016,Apr,West,2,3600,1,0,0,2,1.1,1,5.2,1,3.3,7,2.6,206.1
2011,Dec,West,1,12218,2,1,5.6,2,3.7,3,3.9,1,1.1,12,5.3,787.1
2010,Apr,Central,3,2550,1,0,0,3,3.2,2,3.3,1,2.2,9,1.3,270.1
2011,Oct,South,2,2000,1,0,0,2,1.8,0,0,3,7.9,8,6.1,205.6
2012,Jul,East,1,7900,1,0,0,3,3.8,3,2.3,2,8.5,13,1.1,306.5
2011,Feb,East,9,10300,2,5,7.7,1,3.8,7,3.7,8,5.1,20,1.7,1250
2012,Apr,Central,6,7300,1,3,3.9,1,2.8,1,2.6,3,1,13,1.7,571.2
2011,Apr,West,5,5650,1,0,0,1,3.7,3,1.2,3,5.1,15,5.7,321.1
2016,Mar,Central,6,7000,2,0,0,1,1.2,3,2.2,3,1,11,3.5,329.8
2011,Nov,South,5,5200,2,0,0,2,1.6,2,3.1,3,6.1,15,5.8,371.7
2012,Aug,South,6,8100,1,5,3.8,1,1.1,5,1.6,3,5.2,13,1.9,785.9
2013,Oct,West,2,1200,1,0,0,1,3.1,3,2.7,2,5.6,7,5,199.7
2016,Sep,West,1,5700,1,0,0,2,2.7,2,2.6,3,5.9,11,5.9,219.1
2010,Dec,West,2,5050,1,0,0,2,1.9,3,3.5,3,6.8,6,3.1,202.2
2015,Sep,West,3,3100,1,0,0,3,3.1,2,1.9,1,6.1,9,5.8,257
2011,Jan,Central,1,7650,1,0,0,2,1.2,3,1,1,1.7,9,6.8,287.2
2012,Jul,West,5,10150,1,0,0,3,3.9,1,1,3,3.7,12,1.6,365.9
2015,Apr,Central,6,7750,1,0,0,2,3.5,1,2.6,3,2,12,5.8,333.2
2011,Feb,North,7,9000,1,0,0,1,3.5,5,1.2,8,6.9,12,3.6,111.1
2010,May,North,6,9700,2,3,7.8,3,2.3,3,2.9,2,2.8,10,5.1,782.8
2011,May,Central,2,3600,1,0,0,3,2.9,1,2.8,1,5,7,6,209.5
2011,Oct,North,6,5250,1,0,0,1,1.1,3,2,1,2.6,15,1.2,250.3
2016,May,West,1,6150,1,3,6.1,3,3.3,3,2.6,3,6.2,6,1,662.2
2010,Jul,Central,1,7650,1,3,8.6,1,5.1,5,2.3,1,5.8,11,1.9,1036.5
2010,Apr,East,3,18719,1,5,8.8,3,2.1,5,6.3,2,6.1,11,5.5,1250
2010,Oct,North,6,9250,1,0,0,1,1.8,5,2.9,3,6,11,5.9,372.2
2016,Dec,East,10,11700,1,3,7.3,1,5.9,7,7.3,9,1.6,20,1.8,1196.1
2015,Jan,North,1,7600,1,2,5.3,1,2.3,3,3.7,3,1.8,12,5.2,562.5
2016,Apr,West,3,6600,1,3,1,2,2.3,0,0,3,1.3,12,1.2,530.8
2011,Aug,East,1,8600,1,0,0,2,1.5,3,1.1,3,6.1,12,6.6,227.7
2011,Aug,East,7,10150,2,1,1.8,1,1.2,6,2.1,3,5.8,11,6.7,939.1
2015,Oct,Central,2,2000,1,1,2.1,2,1,2,0.3,1,1.8,8,2.2,216.1
2015,Mar,North,5,7250,2,3,1.6,3,1,2,2.6,3,6.1,11,5.8,671.8
2013,Nov,East,1,1750,1,0,0,1,1.3,1,0.8,3,5.1,8,1.7,216.8
2013,Dec,West,1,6800,1,0,0,3,3.1,2,5.7,3,1.7,13,1.5,231.5
2012,Aug,Central,1,10100,1,0,0,1,2.7,3,3.3,2,8.8,12,1,287.1
2015,Jun,Central,1,8050,1,2,5.2,3,1.5,3,2.3,1,1.7,12,1.5,176.8
2010,Jan,Central,5,5100,2,1,7,3,3.9,1,1.2,3,3.5,12,1.8,1091.5
2013,Apr,West,5,7000,1,0,0,3,2.3,5,2.8,3,8,11,5.6,356
2011,Aug,South,1,2000,1,0,0,2,2.3,1,1.6,1,6.3,6,2.2,191.5
2012,Jun,North,1,5700,1,2,5.7,3,1.8,3,1.5,3,7.3,12,5.5,508.8
2012,May,North,2,5150,1,2,2.9,2,2.3,2,7.1,1,6.2,8,5.2,339.9
2016,Aug,East,1,6500,1,0,0,2,2.9,3,2.3,1,3.2,13,3.3,219.7
2016,Nov,North,8,12000,1,1,9.1,1,1.8,1,1,3,5.7,15,5.9,1250
2011,Dec,West,1,3250,1,0,0,3,1.1,3,2.6,1,5.1,11,1.6,257.6
2011,Nov,North,2,1800,1,0,0,1,1.3,1,1.5,3,1,8,1,167.5
2011,Nov,North,3,3100,1,3,1.9,2,1.5,3,2.7,1,1.1,7,3.5,362.8
2015,Jan,East,3,3050,1,0,0,3,1.2,2,1.5,3,5.3,9,5.7,280.1
2015,Nov,North,1,18281,1,1,8.3,3,1.7,5,5.8,1,6.1,13,5.3,1231.1
2010,Mar,East,5,6850,2,0,0,3,3.7,1,1.5,3,6.5,11,1.3,360.2
2016,Nov,South,1,8800,1,0,0,3,2.6,3,1.9,1,6.9,13,3.5,291.6
2011,Jan,North,2,16711,2,1,5.8,3,2,2,5.3,3,2,11,1.8,710.3
2016,Mar,East,1,7600,1,1,5,3,2.1,2,1.2,3,1.8,8,2.8,725.3
2011,Jan,South,1,1200,1,0,0,2,3.3,1,5,1,3.5,7,1.6,186.2
2015,Oct,West,3,6800,1,0,0,2,1.5,2,2.6,3,1.9,13,3.1,220.7
2010,Feb,West,3,5700,1,0,0,3,3.5,2,1.5,2,7,10,5.8,218.6
2013,Oct,East,5,2200,2,0,0,3,5.3,2,3,3,5.8,9,5.2,312.7
2013,Nov,East,3,6750,1,1,5.1,3,1.1,3,3.9,3,2.1,9,5,627.3
2013,Jul,West,3,6500,1,0,0,1,3.6,1,3.3,3,1.2,9,1.2,263.5
2016,Aug,Central,8,9850,2,3,8,1,1.6,1,3.1,3,3.7,17,5.7,983
2011,Apr,North,2,3650,1,2,1.6,2,2.6,0,0,3,3.1,5,5.2,235.2
2012,Oct,East,10,10550,1,0,0,1,1.1,6,1.5,8,5.2,20,6.1,166.9
2011,Mar,North,9,11150,1,5,8,1,3.8,5,2.8,3,2.7,18,1.2,1250
2011,Jul,West,1,6200,1,2,6.1,3,3.6,5,2.3,1,1.8,13,5.2,621.3
2010,May,North,5,10200,2,1,1.8,2,3.3,1,3.2,3,5.7,13,1.5,808.2
2011,Jun,West,1,1750,1,0,0,3,2.5,2,1.1,3,1.1,8,1.2,225.9
2011,Sep,South,1,6650,1,3,2.5,2,2.6,3,3.5,3,1,11,1.7,398.2
2011,May,East,1,6050,1,1,3.5,2,3.3,2,3,2,5.2,7,1,292.8
2010,Jun,West,1,7050,1,0,0,3,5.1,1,5.9,1,5.7,11,3,301.6
2015,Feb,North,5,18085,2,5,8.8,1,1.1,5,2.1,3,2,16,1.9,1250
2016,Jun,East,2,6100,1,3,6.1,1,5.2,3,3.5,3,2.8,7,1.1,811.8
2012,Mar,West,3,2600,1,0,0,1,2.5,3,3.2,1,7.2,11,1.1,191.3
2010,Jan,South,5,7200,2,2,5,3,1.1,5,2,3,1.9,12,1.8,599.3
2013,Aug,North,3,1900,1,0,0,2,1.8,2,2.2,1,1,9,3.6,186.7
2012,Feb,West,5,8700,1,3,5.9,3,1,3,3.1,1,1.8,11,1,666.1
2010,Sep,South,9,9100,1,1,9.1,1,3.5,6,1.5,3,3.5,18,6.1,1233.7
2012,Oct,South,1,8000,1,1,2.5,2,3.3,5,3.1,3,1.3,11,1.1,172.3
2015,Feb,North,2,15191,1,0,0,3,3.9,1,3.5,2,6.9,8,1.5,219.2
2011,Jul,North,5,6350,1,3,7.1,3,2.8,3,1.9,1,8,11,1.8,770.8
2012,Apr,South,1,8250,1,3,6.1,3,1.5,3,2.3,1,1.9,12,1.9,770.9
2016,Aug,North,1,1100,1,0,0,2,3.9,3,3.3,3,7.1,9,1.5,302.6
2010,Apr,North,3,1300,1,0,0,2,1.6,0,0,3,8.2,9,1.2,191.1
2011,Mar,North,2,2000,1,3,5.9,2,2.1,1,3.7,2,1.1,9,1.6,511.5
2012,Sep,Central,5,9150,1,3,7.6,1,1.6,3,2.1,3,3.9,16,5.1,985.5
2010,Nov,East,2,1850,1,0,0,2,2.9,2,1.3,3,1.5,8,3.5,179.6
2011,Dec,Central,3,6100,1,0,0,1,2.2,2,1.6,1,5.5,10,3.1,237.6
2012,Aug,South,3,7250,1,3,6.1,2,2.9,3,7.1,3,1.5,10,3.1,695.6
2011,Mar,East,6,12178,1,3,3.7,3,2.5,3,5.5,3,3.6,16,1.7,561.8
2010,Mar,West,2,1150,1,0,0,2,1.6,2,1.5,3,5,10,2.6,222.1
2011,Aug,North,1,6350,1,1,2.1,3,2.9,3,2.1,1,2.3,9,1.6,155.1
2011,Jan,North,2,1100,1,2,6.1,2,3,1,1.1,3,1.5,7,7.2,185.9
2011,Jun,East,2,2150,1,0,0,1,1.9,0,0,2,1.2,10,3.5,203.6
2012,Jul,West,5,6700,1,2,3.3,3,2.8,5,1.1,1,5.3,10,1.5,131.1
2016,Aug,West,1,7700,1,3,8.1,3,2.2,1,2,3,3.1,11,1.3,876.7
2011,May,East,1,2800,1,0,0,1,2,0,0,1,2.6,7,1.5,116
2013,Dec,East,6,9100,1,0,0,3,3.8,1,1,3,3.9,13,3.3,295.7
2012,Jun,North,6,6900,1,0,0,3,1.5,1,0.8,3,5.1,11,5.6,351.5
2015,Jan,West,1,1350,1,0,0,1,5.7,1,3.3,2,1,10,1.1,232
2016,Nov,East,1,5850,1,0,0,3,2.1,2,2.5,1,7.3,11,5.6,289
2012,Nov,North,5,6100,1,0,0,1,1.8,3,2.1,1,3.1,12,6.6,280.2
2013,Nov,South,2,1000,1,3,3.5,1,3.2,1,0.9,2,1.7,10,1.9,398.3
2013,Apr,West,2,3650,1,0,0,1,2.2,0,0,3,3,6,3.1,151.1
2016,Jan,North,3,7300,1,1,3.6,2,2.9,2,2.2,2,2.3,11,3.5,521.9
2012,Feb,Central,3,5550,1,2,7.3,1,2.9,2,0.3,3,5.1,9,3.6,563.7
2016,Jan,East,2,6600,1,0,0,2,1.7,1,2.5,3,2.7,9,7.1,256.2
2011,Dec,West,1,13895,1,3,6,3,3.9,1,1.6,3,3.2,11,1.2,738
2011,Feb,North,1,2000,1,0,0,1,2,0,0,2,1.5,1,1.3,110.9
2011,Jan,West,7,6700,1,3,1.1,1,3.3,3,2.1,8,1.3,18,1.9,690.5
2011,Jan,North,2,2000,1,0,0,2,3.1,2,2.7,1,3.8,6,3.6,181.7
2013,Jan,West,7,7700,2,1,7.3,1,2.8,3,2.1,3,6.1,13,1.1,1121.5
2015,Dec,East,3,5750,1,2,1.2,1,3.3,2,3.6,3,6.6,12,3.7,138.3
2015,Sep,Central,3,6700,1,0,0,2,3.5,3,1.3,2,1.1,9,5.7,279.8
2013,May,South,3,5100,1,1,5.3,3,1.8,1,3.5,3,5.1,10,1.3,738.9
2011,Nov,East,5,5850,2,3,6.9,3,3.1,3,1.6,3,1.1,10,1.1,707.8
2011,Sep,North,3,5050,1,0,0,2,2.9,3,6.1,3,6,8,1.2,371.3
2010,Mar,West,5,8600,2,1,3.6,1,1.3,1,5,3,1.5,12,2.6,681.9
2011,Feb,East,10,12000,2,1,8.7,1,1.8,5,1.6,8,6.5,19,6.3,1250
2011,Oct,Central,7,13121,2,3,7.8,1,3.7,5,0.9,3,2.7,16,5.8,977.9
2015,Apr,North,3,1350,1,0,0,2,1.2,2,1.1,1,7.6,11,5.2,295.5
2011,May,Central,5,6050,1,0,0,1,3.6,1,1.5,3,3.7,11,1.3,291.3
2011,Dec,West,1,5000,1,2,7.1,1,3,3,2,1,6.8,15,3.2,589.6
2010,Aug,East,3,5900,1,0,0,2,3.6,2,1.1,3,1.6,12,1.8,275.9
2010,Nov,East,3,6750,1,0,0,2,1.1,1,1.6,3,2.9,11,5.3,219.3
2012,Jun,West,3,1700,1,0,0,2,2.7,2,5.1,3,5.3,12,6.9,211.1
2016,Sep,West,3,7250,1,0,0,3,3,2,2.8,3,6,9,5.5,292.7
2013,Aug,West,6,7650,1,0,0,3,1.3,1,2.5,3,1.9,16,1.9,532.9
2015,Feb,West,1,2200,1,1,5.1,2,3.9,0,0,2,2.9,1,5.6,266.9
2015,Jan,Central,7,11500,2,5,5.5,1,2.7,1,1.5,1,1,11,1.1,936.6
2010,Dec,West,3,6050,1,0,0,3,1,2,5.6,1,6.2,11,1.3,231
2012,May,Central,5,7750,2,3,5.6,1,1.5,1,2.8,1,3.9,11,1.7,768.1
2015,Oct,East,3,7100,1,2,3.2,2,1.9,2,3,1,1.7,7,5,359.1
2011,Sep,North,5,9150,1,0,0,1,2.1,1,5.3,3,6.6,11,3.6,301.1
2010,Dec,South,2,6050,1,0,0,2,3.2,1,2.8,2,3.5,10,3,181.2
2012,Jul,East,1,6350,1,0,0,1,3.3,1,1.1,3,5.3,15,3.8,260.9
2015,May,North,9,7600,2,3,7.2,1,1.5,5,1.9,3,5.1,17,1.6,971.5
2012,Oct,North,3,11055,1,2,7.8,3,3.2,2,3.9,2,3.7,10,1.2,607.8
2010,Jan,North,3,3300,1,0,0,2,3.2,2,1.1,3,3.1,9,1.9,168
2010,Dec,Central,1,5650,1,3,6.3,2,3.1,1,5.1,3,6.5,15,1.3,752.3
2016,Aug,Central,1,11098,2,0,0,2,3.1,3,5.1,1,3.5,15,2.3,336.1
2011,Jan,North,1,5950,1,2,5.9,2,5.3,3,3.8,2,2.3,12,1.8,539.1
2010,Jul,East,5,1850,1,0,0,3,1.8,2,3.1,1,5.9,12,1.1,267.2
2013,May,North,1,1150,1,0,0,1,1.1,1,2.7,1,3.9,8,1.5,115.7
2013,Mar,Central,2,2000,1,2,1.3,2,2.8,0,0,2,3.1,8,2.8,106.1
2010,Apr,Central,1,6900,1,3,7.2,2,2.6,2,3.1,3,3.3,13,5.1,771.5
2011,Apr,North,5,11550,1,0,0,2,3.1,3,2.6,1,2,16,5.7,278
2015,Jun,East,5,6650,2,0,0,3,1.1,1,5.5,3,8.2,11,5.6,371.1
2013,Dec,Central,1,1650,1,0,0,1,0.1,2,1.1,3,1.8,11,5.1,218.8
2011,Dec,East,10,12000,2,5,9.9,1,1,5,6.6,3,3.9,20,6.1,1250
2010,May,Central,3,5000,1,0,0,2,3.5,3,6.7,3,5.6,9,1,281.3
2013,Dec,West,2,1600,1,2,2,1,3,2,3.6,2,5.2,8,1.3,273.9
2011,Oct,North,6,6100,2,2,6.1,1,1.1,3,1.1,3,1.5,11,5.6,658.6
2012,Oct,South,3,3750,1,2,1.1,3,3.1,3,1.7,1,5.1,10,1.8,396.8
2016,May,Central,1,1550,1,0,0,2,2.5,2,1.6,1,5.5,11,1.5,293.1
2016,Nov,North,1,6150,1,1,8.5,2,2.1,5,6.3,2,1.3,11,1.6,516.7
2015,Mar,North,3,7100,1,0,0,2,3.7,2,3.9,3,1.8,11,3.1,215.1
2013,Sep,East,1,9700,1,0,0,3,2.7,3,6.6,3,6.8,13,3.7,306.1
2011,Dec,North,2,16715,1,1,9.8,3,2.8,3,5.1,3,6,11,3.1,1082.3
2012,Oct,South,5,6100,1,0,0,3,3.7,1,1.9,3,1.6,16,5.1,319.3
2016,Oct,North,1,7350,1,3,3.3,3,3.8,2,3.6,1,5.5,11,1.9,509.8
2013,Jul,Central,1,2150,1,2,3.8,2,1.2,1,3.7,1,5.5,7,1.8,318.1
2011,May,West,1,2800,1,0,0,2,1,2,1.7,1,2.6,11,3.8,257.8
2011,Mar,North,1,1150,1,2,5.8,1,1.6,3,2.1,3,1,10,7,529.9
2012,Jul,East,10,12000,2,1,1.6,1,1.9,5,5.6,9,1.9,20,1.5,1013.5
2015,Sep,East,1,8000,1,0,0,3,3.6,2,2.9,1,8,11,6.1,288.1
2016,Oct,West,3,5750,1,0,0,2,3.3,2,3,3,8,10,6.3,273.5
2015,Apr,Central,6,9100,1,0,0,3,3.2,1,2.5,3,5.3,16,3.1,338
2016,Jun,North,1,5500,1,0,0,2,3.8,3,1,1,1.7,13,3.9,235
2013,Dec,South,10,10250,1,0,0,1,1.3,6,0.3,8,7.1,20,5.5,122.3
2011,Oct,North,3,1650,1,0,0,1,2.1,1,3.3,3,6.1,10,1.1,251.2
2011,Dec,South,3,2000,1,1,3.6,1,3.5,1,1.1,3,5.5,9,1.1,271.8
2016,May,East,3,5100,1,0,0,1,3.1,1,3.5,3,8.1,10,6.5,290.1
2013,May,West,2,2000,1,0,0,1,1.8,1,0.5,2,8,6,6.7,197.7
2015,Sep,West,1,5850,1,0,0,1,1.8,0,0,1,2.5,5,3.7,130.2
2015,Apr,North,1,2600,1,0,0,1,3.8,2,2.9,2,6.5,1,6.1,131
2011,Nov,East,8,10500,1,2,6.3,1,1.5,5,1.1,3,8,15,1,709.9
2011,Sep,West,1,3250,1,0,0,1,2,0,0,2,5.9,9,1.1,197.5
2015,Nov,North,1,9150,1,1,5.3,3,3.2,1,5.3,3,1.3,12,1,808.8
2011,Aug,West,5,9350,2,3,5.6,3,3,3,1,3,2.8,15,3,661.1
2013,Mar,West,2,3800,1,1,5.6,2,2.3,1,3.6,1,6.3,10,7.1,316.6
2011,Nov,East,2,3800,1,0,0,2,2.1,2,1.6,1,7.8,9,3,232.1
2011,Apr,Central,3,2350,1,0,0,3,2.3,3,3.1,1,3.1,13,1.8,213.7
2015,Jan,West,3,1550,1,0,0,1,1.2,1,3,3,1.3,10,6.7,258.6
2015,Nov,Central,3,6700,1,0,0,3,1.2,1,1.1,3,5.9,7,3.7,227.5
2016,Jun,North,3,8000,1,3,7.1,2,0.1,2,1.7,3,3,12,3.3,670.1
2011,Sep,East,3,1150,1,2,5.1,2,3.8,2,3.1,1,2.9,6,6.7,158.2
2011,Mar,West,2,1950,1,0,0,2,2.9,3,2.9,3,6.6,7,3.2,211.9
2013,Oct,North,7,7500,2,5,6.3,1,2.6,5,2.6,3,6.9,17,6.2,1250
2015,Oct,East,2,5300,1,1,8.7,1,1.1,2,1.6,1,1,1,1.9,1115.9
2015,Feb,North,1,6950,1,3,5.8,3,2.3,2,0.3,3,3.2,13,1,552.2
2010,Jul,Central,6,8800,2,3,5.1,3,2.9,3,2.5,3,5.1,13,3.8,739
2016,Jan,North,1,5200,1,0,0,3,2.8,2,1.3,3,5.3,11,2.8,279.7
2010,Jun,Central,2,5600,1,2,2.9,2,0.9,1,3.8,3,1.3,8,3.7,311.1
2011,Jun,North,6,7950,2,0,0,3,2.2,3,1.9,1,5.9,11,5,308.5
2015,Sep,Central,1,9950,1,2,7.8,3,3.9,1,3,1,5.6,13,1.2,702.3
2011,Jun,North,2,5700,1,3,5.5,2,3.3,1,1.7,1,3,5,2.5,570
2013,Oct,West,2,3850,1,0,0,3,3.6,3,3.3,2,10,9,3.8,222.9
2015,Nov,South,6,10100,2,2,8.6,1,3.3,5,5.9,3,5.9,12,6.5,881.5
2011,Aug,West,1,1100,1,1,8.5,2,2.8,3,2.6,3,3.1,7,1.6,1082.9
2011,Aug,North,3,1750,1,2,1.6,3,3.1,1,5.1,3,6.7,9,1.7,197.9
2010,Nov,East,7,8650,2,0,0,3,5.3,1,3.1,8,1.8,18,1.6,722.2
2013,Sep,Central,5,7300,1,0,0,3,1.2,1,1.7,3,1.7,11,5.6,283
2015,Apr,South,6,1250,1,1,7.9,3,2.8,3,1.9,3,3.3,11,6.3,1003.5
2011,Aug,West,3,1850,1,0,0,2,1.7,3,3.5,3,3.5,7,5.6,221.8
2011,May,West,1,6350,1,0,0,2,1.8,2,2.9,1,5.1,8,1.9,291.9
2010,Jan,West,5,5950,1,3,5.5,1,3.2,1,3.5,3,1.2,12,5.5,721.3
2010,Jul,South,3,1550,1,2,1.1,2,3.7,2,3.6,2,8.3,8,3.2,165.8
2010,Sep,North,6,9750,2,2,5.1,3,3.5,5,1.1,3,2.6,15,6.2,577.5
2012,Nov,East,3,5150,1,0,0,2,2.7,0,0,2,1.6,8,2.9,205.2
2011,Jul,North,3,2900,1,3,6.1,2,1.1,0,0,3,6.8,8,3.7,596.1
2012,Dec,Central,1,5150,1,0,0,2,2.2,3,1.2,3,5.2,11,5,269
2010,Apr,South,3,3700,1,3,1.1,1,2.7,1,3.5,3,5.6,9,5.8,562.2
2015,Nov,Central,1,5050,1,0,0,2,3.1,2,5.2,1,1,9,2.6,258
2015,Aug,South,2,5150,1,1,6.1,1,1,2,2.2,1,6,5,1.6,323.9
2012,Mar,North,5,8850,2,3,3.8,3,1,1,3.9,1,5.8,13,5.2,592.1
2010,Jul,East,1,1700,1,0,0,2,2,2,2.1,1,5.3,6,1,153.1
2011,Oct,Central,2,2200,1,1,1.2,2,1.8,0,0,1,5.2,5,1.6,258.5
2016,Mar,North,3,5500,1,2,5,3,3,2,1.8,1,5.6,5,1.2,185.1
2012,Dec,West,5,7150,2,3,6.1,2,3.2,3,0.3,3,1.1,11,1.5,752.7
2011,Jan,East,5,9950,2,3,6.1,3,1.1,5,1.8,3,2.1,11,6.2,811.7
2016,Apr,West,1,5200,1,0,0,1,1.1,1,1.5,1,5.3,6,1.8,166.1
2013,Nov,East,3,1350,1,1,2.5,2,1.2,1,0.6,1,1.8,8,1.2,118.2
2012,Apr,East,3,6900,1,3,1.6,2,3.6,2,1.1,1,5.8,10,1.1,191.3
2015,Apr,West,3,3150,1,3,5.2,2,2.1,2,0.5,3,5,8,5.5,615
2015,Aug,East,1,2000,1,0,0,1,1,1,3.8,1,6.1,6,3.1,181.3
2011,Nov,Central,3,8000,1,3,5,2,3.9,2,5.1,3,1,12,1.2,591.5
2011,Jun,Central,1,6200,1,0,0,3,3.1,2,1.7,3,3,10,5.2,262.2
2013,Sep,West,3,3500,1,0,0,3,2.6,3,0.3,3,5.2,6,2.3,192
2016,Feb,West,7,8950,1,1,2.3,1,1.3,3,2.5,3,3.2,16,6,570
2015,Mar,West,3,2150,1,2,7.6,2,1.7,2,2.9,2,1.9,7,5.1,199.8
2010,Sep,East,3,5350,1,0,0,2,2.9,2,3.6,3,3.6,9,3.2,252.8
2010,May,North,5,1000,2,0,0,3,1.5,2,1.1,3,8.1,10,6.2,310.6
2011,Sep,North,5,5650,1,2,7.3,3,3,1,1,3,5,11,2.7,590.1
2013,Aug,West,3,8050,1,1,5.3,2,2.9,1,3.5,3,6.2,9,1.7,712
